user_id,merchant_id,amount,category,location,device,is_international,is_weekend,timestamp,label
3861,1507,1014.48,food,urban,tablet,0,0,2023-10-04 09:18:42,0
3621,1322,1229.08,electronics,urban,mobile,0,1,2023-10-23 03:37:30,0
1405,957,2552.69,utility,urban,tablet,0,0,2023-07-20 09:24:42,0
4592,2530,1695.16,utility,urban,mobile,0,0,2023-05-20 21:29:08,0
4744,2762,2506.11,utility,rural,desktop,0,1,2023-01-03 19:16:35,0
3482,1403,1055.64,travel,rural,tablet,1,0,2023-03-08 05:17:22,0
4236,2317,2636.18,clothing,rural,desktop,0,0,2023-05-21 12:01:40,0
2484,637,151.55,clothing,rural,mobile,0,1,2023-12-27 17:51:21,0
2130,1483,4202.77,utility,suburban,mobile,1,1,2023-09-17 16:53:43,1
3915,693,1050.8,utility,suburban,mobile,0,1,2023-09-05 14:17:09,0
1269,344,1854.85,utility,suburban,tablet,0,0,2023-11-04 05:40:20,0
2431,2799,671.63,clothing,rural,tablet,0,0,2023-04-06 10:22:11,0
1021,1874,1241.0,food,suburban,desktop,0,1,2023-01-27 17:39:44,0
1861,2970,884.71,food,suburban,tablet,0,0,2023-09-13 15:42:07,0
3871,2738,246.0,clothing,rural,desktop,1,1,2023-07-11 11:51:26,0
3975,1055,683.4,utility,rural,desktop,0,1,2023-12-09 02:14:57,0
1768,1556,1450.65,clothing,urban,desktop,0,1,2023-08-21 23:57:00,0
1011,1601,1661.02,food,urban,desktop,0,0,2023-08-07 07:30:36,0
2987,2966,6.21,utility,suburban,tablet,0,1,2023-09-05 20:22:05,0
3236,2555,2421.63,clothing,rural,mobile,0,1,2023-07-09 11:01:30,0
3423,1666,607.83,food,suburban,mobile,0,1,2023-02-01 02:01:27,0
1182,1312,559.29,travel,urban,tablet,0,0,2023-02-23 13:00:58,0
1204,1298,147.66,travel,urban,tablet,0,1,2023-07-04 21:30:33,0
4042,1420,581.67,food,urban,desktop,0,1,2023-02-14 10:24:59,0
3410,640,874.58,food,suburban,mobile,0,1,2023-08-13 11:13:50,0
1849,593,931.89,utility,suburban,desktop,0,1,2023-08-24 18:21:30,0
2504,1431,1027.89,electronics,suburban,tablet,0,0,2023-05-08 12:24:26,0
1870,2463,1013.26,electronics,rural,tablet,0,0,2023-04-24 03:38:16,0
4658,2922,1922.77,travel,suburban,mobile,0,0,2023-04-28 21:30:16,0
2312,2118,1584.91,electronics,rural,desktop,0,1,2023-06-18 16:00:37,0
2107,2412,1382.25,clothing,suburban,mobile,0,1,2023-02-02 13:46:22,0
1796,2263,866.98,utility,urban,desktop,0,0,2023-12-08 19:11:42,0
2548,2066,725.74,utility,suburban,tablet,0,1,2023-04-10 09:47:48,0
1545,766,752.37,clothing,urban,desktop,0,1,2023-02-05 02:58:09,0
2655,2663,833.69,food,urban,tablet,0,0,2023-06-19 16:40:55,0
3493,2267,1735.85,utility,suburban,mobile,0,1,2023-07-27 06:20:50,0
2717,1691,997.02,food,rural,desktop,0,0,2023-10-10 02:38:32,0
4380,1678,309.08,clothing,urban,desktop,0,1,2023-09-15 03:32:49,0
2470,1720,1954.2,utility,urban,desktop,0,1,2023-07-02 19:08:56,0
2612,1454,205.14,travel,rural,tablet,1,1,2023-06-28 08:17:21,0
3924,1141,2463.19,utility,urban,mobile,0,0,2023-11-14 04:42:08,0
3641,2392,365.67,clothing,urban,tablet,0,0,2023-07-27 11:47:12,0
3105,881,204.34,electronics,urban,mobile,0,1,2023-12-13 06:42:05,0
3993,532,1317.96,clothing,suburban,mobile,0,0,2023-08-20 09:23:35,0
2686,1126,126.13,food,suburban,desktop,0,1,2023-11-14 07:57:45,0
1215,2805,1238.78,electronics,suburban,desktop,0,1,2023-07-06 06:58:58,0
3196,1296,1422.53,food,suburban,tablet,0,1,2023-08-03 20:24:41,0
